title,genres
Toy Story,Animation Comedy Family
Jumanji,Adventure Fantasy
Grumpier Old Men,Comedy Romance
Waiting to Exhale,Comedy Drama Romance
Father of the Bride Part II,Comedy
Heat,Action Crime Thriller
Sabrina,Comedy Romance
Tom and Huck,Adventure Children
Sudden Death,Action
GoldenEye,Action Adventure Thriller
American President,Comedy Drama Romance
Dracula,Biography Horror
Balto,Animation Adventure
Nixon,Drama
Cutthroat Island,Action Adventure
Casino,Crime Drama
Sense and Sensibility,Drama Romance
Four Rooms,Comedy
Ace Ventura: When Nature Calls,Comedy
Money Train,Action Comedy Crime
Get Shorty,Comedy Crime Thriller
Copycat,Crime Drama Thriller
Assassins,Action Crime Thriller
Powder,Drama Sci-Fi
Leaving Las Vegas,Drama Romance
Othello,Drama
Now and Then,Drama
Persuasion,Drama Romance
City of Lost Children,Fantasy Sci-Fi
Shanghai Triad,Crime Drama
Dangerous Minds,Drama
Twelve Monkeys,Sci-Fi Thriller
Babe,Animation Drama Family
Dead Man Walking,Drama
Clueless,Comedy Romance
Seven,Crime Thriller
Pocahontas,Animation Adventure Romance
Batman Forever,Action Adventure
Heat: Director's Cut,Action Crime
Golden Child,Action Fantasy
